rs;kreis;sonst_mob_jan;pend_mob_jan;sonst_mob_feb;pend_mob_feb;sonst_mob_mär;pend_mob_mär;sonst_mob_apr;pend_mob_apr;sonst_mob_mai;pend_mob_mai;sonst_mob_jun;pend_mob_jun;sonst_mob_jul;pend_mob_jul;sonst_mob_aug;pend_mob_aug;sonst_mob_sep;pend_mob_sep;sonst_mob_okt;pend_mob_okt;sonst_mob_nov;pend_mob_nov;sonst_mob_dez;pend_mob_dez
9677;Main-Spessart;-7;-11;-3;-12;-31;-14;-44;-41;-17;-31;-16;0;-4;-10;-1;1;11;17;6;1;0;4;-16;-5
9678;Schweinfurt;-7;-7;2;-4;-25;-6;-19;-19;9;-8;6;26;24;18;46;38;47;50;33;23;28;31;10;21
9679;Würzburg;-9;-11;-2;-9;-28;-10;-37;-35;-13;-26;-4;11;8;-1;12;4;13;14;17;4;12;12;-2;10
9761;Augsburg, Stadt;7;-3;11;-2;-30;-14;-44;-43;-17;-32;-21;-8;-6;-14;-7;-6;-2;2;-10;-14;-21;-15;-33;-19
9762;Kaufbeuren, Stadt;61;7;67;9;1;1;-36;-34;-9;-24;6;14;22;5;39;24;25;19;18;3;-13;-11;-13;-10
9763;Kempten (Allgäu), Stadt;10;0;22;0;-20;-7;-33;-39;-10;-32;-13;2;8;2;12;15;9;20;3;2;-12;-7;-26;-14
9764;Memmingen, Stadt;7;0;13;0;-22;-8;-35;-35;-11;-24;-14;0;-6;-9;-2;-2;-2;4;-15;-11;-17;-8;-25;-13
9771;Aichach-Friedberg;8;-1;13;-1;-25;-7;-34;-32;-11;-24;-17;0;-6;-11;1;-1;6;10;1;-4;-7;-1;-20;-6
9772;Augsburg;3;-3;11;0;-21;-5;-30;-28;-8;-21;-15;4;-2;-6;-2;-1;3;8;0;-4;-7;-2;-17;-3
9773;Dillingen an der Donau;-7;-11;3;-9;-24;-11;-32;-34;-8;-23;-18;1;1;-7;3;1;6;11;1;-3;-5;1;-12;0
9774;Günzburg;5;-3;12;-2;-21;-5;-33;-31;-7;-21;-11;8;3;-2;6;6;11;15;6;1;-2;7;-15;2
9775;Neu-Ulm;8;-4;14;-1;-25;-12;-39;-39;-13;-26;-17;0;-6;-10;-2;-4;0;5;-2;-9;-13;-6;-26;-11
9776;Lindau (Bodensee);0;-4;4;-2;-34;-12;-51;-40;-22;-32;-12;11;29;11;33;26;33;27;10;-2;-12;-8;-26;-15
9777;Ostallgäu;8;-4;11;-2;-35;-11;-54;-43;-25;-34;-16;3;9;-1;18;19;20;24;2;-3;-10;-7;-32;-14
9778;Unterallgäu;5;-5;11;-1;-26;-7;-32;-29;-11;-21;-18;7;1;-3;-1;3;4;15;1;-2;-5;3;-13;4
9779;Donau-Ries;4;1;16;6;-18;0;-30;-30;-7;-21;-19;3;-1;-4;0;1;8;16;0;-2;-2;3;-15;-2
9780;Oberallgäu;25;14;32;19;-15;6;-35;-31;1;-18;6;29;39;22;44;49;33;39;18;11;-5;-6;-30;-16
10041;Saarbrücken, Stadtverband;7;2;8;-3;-26;-13;-39;-40;-16;-29;-16;-3;-8;-12;0;-2;2;7;-6;-14;-13;-6;-26;-16
10042;Merzig-Wadern;-2;-4;6;-5;-20;-8;-30;-32;-5;-17;-3;15;5;4;17;20;16;27;8;1;5;12;-10;0
10043;Neunkirchen;6;-1;11;-5;-17;-7;-30;-33;-9;-23;-10;4;-7;-9;4;3;8;14;1;-5;-2;7;-14;-3
10044;Saarlouis;5;3;7;-2;-20;-6;-31;-33;-8;-22;-9;5;-5;-8;3;1;3;11;1;-5;-3;5;-20;-9
10045;Saarpfalz-Kreis;-1;-3;2;-6;-22;-13;-31;-35;-10;-26;-11;-1;-10;-13;2;-3;3;5;-1;-11;-1;-1;-15;-11
